Reference Number,Procuring Entity,Title,Area of Delivery,Solicitation Number,Trade Agreement,Procurement Mode,Classification,Category,Approved Budget for the Contract,Contract Duration,Client Agency,Contact Person,Status,Associated Components,Bid Supplements,Document Request List,Date Published,Last Updated / Time,Closing Date / Time,Description,Other Information,Created by,Date Created
7022422,ALICIA WATER DISTRICT,Supply and Delivery of 400 pcs. of Water Meter 1/2 with tailpiece,Isabela,20-06-070-N,Others,Shopping,Goods,Water Service Connection Materials/Fittings,"284,000.00",30 Day/s,,JEORGE ARIOLA TOMAS,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,05/06/2020 8:00 AM," 1. It should be made of high quality materials designed for hot and cold climate
2. Suitable for high and low pressure area.
3. It has an anti-magnetic features
4. It is a vacuum sealed counter to prevent clouding of lens.
5. It is leak proof self-contain", All Prices must be VAT Inclusive.,JEORGE ARIOLA TOMAS,02/06/2020
7022421,PROVINCE OF SORSOGON,SUPPLY AND DELIVERY OF CONSTRUCTION MATERIALS,Sorsogon,GO-20-06-034,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"7,000,000.00",30 Day/s,,Jose Ramirez Hainto Jr.,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 PM," Bids received in excess of the ABC shall be automatically rejected during the bid opening. The bidders should have completed, within two (2) years from the date of submission and receipt of bids, at least one contract that is similar to the Project. The d",,Arthur Molenilla Balmadrid,02/06/2020
7022328,TALAVERA WATER DISTRICT,Physical and Chemical Analysis,Nueva Ecija,49-1,Implementing Rules and Regulations,Shopping,Goods,Diagnostic and Laboratory Services,"58,780.00",7 Day/s,,Leonila Santiago De Jesus,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,05/06/2020 5:00 PM," 13	sets	Physical and Chemical Analysis
		Parameters:
		1.Arsenic
		2.Cadmium
		3.Lead
		4.Nitrate
		5.Color
		6.Turbidity
		7.pH
		8.Total Dissolve Solids
		9.Chlorine Residual
		10.Metal Preparation", Mail the following Eligibility requirements:,Leonila Santiago De Jesus,02/06/2020
7022415,"MUNICIPALITY OF PIKIT, NORTH COTABATO",PIKCOT-SUPP-002020-00134 (SUPPLY AND DELIVERY OF OFFICE EQUIPMENT),Cotabato,PIKCOT-SUPP-002020-00134,Implementing Rules and Regulations,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Goods,Office Equipment,"52,120.00",15 Day/s,,Engr. Nashra Dalandangan Misquinan,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,08/06/2020 8:00 AM, SEE ATTACHED DOCUMENTS,,Engr. Nashra Dalandangan Misquinan,02/06/2020
7022417,"MUNICIPALITY OF CARAMORAN, CATANDUANES",Procurement of Office Supplies,Catanduanes,G-2020-23,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Office Supplies and Devices,"150,000.00",30 Day/s,,Gerald B Alvaro,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,09/06/2020 2:00 PM, Calendar,,Gerald B Alvaro,02/06/2020
7022375,"MUNICIPALITY OF TUNGAWAN, ZAMBOANGA SIBUGAY",Procurement of Maintenance of Transportation/Heavy Equipment Vehicle,Zamboanga Sibugay,100-06-20-406,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Vehicle Parts and Accessories,"172,450.00",0 Day/s,,JERSON D. REYES,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 10:00 AM," Name of Project:           		Maintenance of Transportation/Heavy Equipment Vehicles						
Location:                    		Motorpool						
Source of Fund:		General Fund						
Brief Description:		Vehicles Maintenance						
								
ITEM	ITEMS & DESCRIPTION		",,JERSON D. REYES,02/06/2020
7022410,"BARANGAY TEJEROS, MAKATI CITY",DECLOGGING AND DESILTING OF CANALS,Metro Manila,TEJ-006,Others,Public Bidding,Goods,Packaging Supplies and Materials,"628,647.60",0 Day/s,,GREGORIO M ORDAS,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,17/06/2020 2:00 PM, DECLOGGING AND DESILTING OF CANALS,,GREGORIO M ORDAS,02/06/2020
7022406,AGRICULTURAL TRAINING INSTITUTE-REGIONAL TRAINING CENTER X,"General Merchandise to be used for starter kits and prizes for the webinar on Nutrition Month Celebration on July 3, 2020",,ATI2020-06-107,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,General Merchandise,"46,000.00",0 Day/s,,MARIELLE GRACE ANDRIN ROMAREZ,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 AM," The AGRICULTURAL TRAINING INSTITUTE-REGIONAL TRAINING CENTER (ATI-RTC) X, through the 2020 General Appropriations Act intends to apply the sum of Forty Six Thousand Pesos (P 46,000.00) being the Approved Budget for the Contract (ABC) to payments under the",,MARIELLE GRACE ANDRIN ROMAREZ,02/06/2020
7022405,NEGROS OCCIDENTAL  NATIONA'L AGRO-INDUSTRIAL SCHOOL OF HOME ,Procurement of office supplies,Negros Occidental,20-06-006,Implementing Rules and Regulations,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Goods,Office Equipment Supplies and Consumables,"70,000.00",0 Day/s,,Remar Joy Blancada Gordevilla,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 AM," Note: Recipient Schools
1 NONAISHI, Hinigaran, Negros Occidental
Lot No. Item No. Description Quantity (State brand, model, make and specifications) Signature
Lot No. 1
Book paper - short		10	reams
Book Paper - A4		50	reams
Book Paper -  Long		60	reams
Br",,Remar Joy Blancada Gordevilla,02/06/2020
7022404,BUREAU OF PLANT INDUSTRY - NCR,"SUPPLY OF LABOR AND MATERIALS FOR THE CONSTRUCTION OF SEED STORAGE OF BPI-LGNCRDPSC, LA CARLOTA CITY, NEGROS OCCIDENTAL",Negros Occidental,ITB PR No.: 0604-20BAC,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"5,000,000.00",150 Day/s,,Mila Rodrin Creencia 2,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,28/07/2020 1:00 PM," Republic of the Philippines
Department of Agriculture
BUREAU OF PLANT INDUSTRY
692 San Andres Street Malate, Manila, Philippines
E-mail Address: bpibac@yahoo.com
Tel. No.: (02) 8526-7859, (02) 8691-0736 | Website: bpi.da.gov.ph
SOLICITATION NO.: ITB PR NO",,Mila Rodrin Creencia 2,02/06/2020
7022402,AUTHORITY OF THE FREEPORT AREA OF BATAAN,Modification of covered parking to be used as TRIAGE & HOLDING AREA in front of FAB Admin Bldg,Bataan,2020-06-0004,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Construction Materials and Supplies,"141,440.00",15 Day/s,,Arjay G.  Alonzo,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,08/06/2020 10:00 AM," 1	40	pcs	Marine Plywood 1/4
2	25	pcs	Phenoloic plywood 3/4
3	60	pcs	G.I. Tubular, 1.5mm x 2""x2""
4	5	pcs	Cutting Disk 14
5	20	kg	Welding rod 6013
6	1	bx	Blind Rivets 3/16 x 1/2
7	5	pcs	Drill bit 3/16
8	8	pairs	Door Hinges 2x3
9	2	kgs	CWN 1
10	10	kgs	CWN 2
",,Arjay G.  Alonzo,02/06/2020
7022399,PROVINCE OF MARINDUQUE,"Furnishing labor, materials and equipment for the Improvement of Brgy. Waterworks System, Brgy. Lupac, Boac, Marinduque",Marinduque,infra 037-2020,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"2,187,332.01",0 Day/s,,Rene P Quezada,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,22/06/2020 10:00 AM," Republic of the Philippines
PROVINCE OF MARINDUQUE
Capitol Boac, Marinduque
OFFICE OF BIDS AND AWARDS COMMITTEE
Invitation to Bid 
Furnishing labor, materials and equipment for the Improvement of Brgy. Waterworks System, Brgy. Lupac, Boac, Marinduque 
The",,Sheila Marie S Chua,02/06/2020
7022409,"MUNICIPALITY OF BONTOC, MOUNTAIN PROVINCE",Cluster 06-2020 (1. Site Development of Municipal Slaughter House 2. Repair of Pakkil Stairway with Railings 3. Improvement of Baang Pathway 4. Improvement of Liwen-Navarangnan hanging Bridge 5. Impro,Mountain Province,INFRA 2020-08,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,007,000.00",190 Day/s,,CLIFTON GARETH NGODCHO FANG-ASAN,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," MUNICIPALITY OF BONTOC
Bontoc, Mountain Province
Invitation to Bid for
Cluster 06-2020 (1. Site Development of Municipal Slaughter House 2. Repair of Pakkil Stairway with Railings 3. Improvement of Baang Pathway 4. Improvement of Liwen-Navarangnan hanging",,CLIFTON GARETH NGODCHO FANG-ASAN,02/06/2020
7022381,"MUNICIPALITY OF LIAN, BATANGAS","Bidding 11, 2020",Batangas,"Bidding 11, 2020",Implementing Rules and Regulations,Public Bidding,Goods,Vehicles,"3,300,000.00",0 Day/s,,Christian Garganza Ortega,Active,Order,0,5,03/06/2020,03/06/2020 12:00 AM,10/06/2020 1:00 AM," Republic of the Philippines
PROVINCE OF BATANGAS
Municipality of Lian
OFFICE OF BIDS AND AWARDS COMMITTEE
INVITATION TO BID
	The Municipal Government of Lian, Batangas through its Bids and Awards Committee (BAC) now calls for the submission of Letters of ",,Christian Garganza Ortega,02/06/2020
7022306,TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES - MANILA CAMPUS,Procurement of Passenger Van 2020(Repost),Metro Manila,TUPBACEQ-PB-01-CBP-F164-20-G-R,Implementing Rules and Regulations,Public Bidding,Goods,Vehicles,"1,720,000.00",45 Day/s,,PRISCILLA SOTELO BATOR,Active,Order,0,6,03/06/2020,03/06/2020 12:00 AM,23/06/2020 9:00 AM," 1.	The Technological University of the Philippines Manila Campus, through Fund 164 Non Fiduciary Fund per BOR Approved Income for Utilization CY 2019 intends to apply the sum of One Million Seven Hundred Twenty Thousand Pesos (Php 1,720,000.00) being the ",,PRISCILLA SOTELO BATOR,02/06/2020
7022437,"MUNICIPALITY OF BONTOC, MOUNTAIN PROVINCE",Cluster 07-2020 (1. Improvement of Municipal Capitol Building 2. Restoration/Relocation of Chongliyan Water System 3. Completion of Chakalan Bontoc Ili Animal Bite Center 4. Fabrication & Installation,Mountain Province,INFRA 2020-09,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,209,520.05",171 Day/s,,CLIFTON GARETH NGODCHO FANG-ASAN,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," MUNICIPALITY OF BONTOC
Bontoc, Mountain Province
Invitation to Bid for
Cluster 07-2020 (1. Improvement of Municipal Capitol Building 2. Restoration/Relocation of Chongliyan Water System 3. Completion of Chakalan Bontoc Ili Animal Bite Center 4. Fabricatio",,CLIFTON GARETH NGODCHO FANG-ASAN,02/06/2020
7022407,DEPARTMENT OF EDUCATION - DIVISION OF AGUSAN DEL SUR,PURCHASE OF OFFICE AND SCHOOL SUPPLIES FOR CONSUELO ES,Agusan Del Sur,2020-06-002,Implementing Rules and Regulations,Shopping,Goods,Office Equipment Supplies and Consumables,"119,118.60",3 Day/s,,Riza Ortez Muanag,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 AM," 1	Roll	Acetate, Cellophane cover	2	 1,140.00 
2	Pc	Clear book	20	 900.00 
3	Pc	Illustration Board	20	 840.00 
4	Box	Thumb tack	20	 400.00 
5	Pc	Notebook (Writing/Spiral)	2200	 26,400.00 
6	Pad	Paper Pad	894	 10,728.00 
7	Box	Ballpen (Black)	5	 1,750.00 
8",,Riza Ortez Muanag,02/06/2020
7022452,PROVINCE OF AGUSAN DEL SUR,Procurement of 1 SET POWER SPEAKER AND EQ ETC.,Agusan Del Sur,ADS-1220-20,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Electronic Parts and Components,"237,890.00",0 Day/s,,Donald Glenn M Lanzado,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 9:00 AM, 1 SET POWER SPEAKER AND EQ ETC.,,Donald Glenn M Lanzado,02/06/2020
7022459,"MUNICIPALITY OF BONTOC, MOUNTAIN PROVINCE",Improvement of Bontoc Ili Local Access Road,Mountain Province,INFRA 2020-10,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"2,300,000.00",92 Day/s,,CLIFTON GARETH NGODCHO FANG-ASAN,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," MUNICIPALITY OF BONTOC
Bontoc, Mountain Province
Invitation to Bid for
Improvement of Bontoc Ili Local Access Road
INFRA 2020-10/7022459
1.	The Municipal Local Government Unit of Bontoc through the DILG-PC Fund 2019 intends to apply the sum of Two Million",,CLIFTON GARETH NGODCHO FANG-ASAN,02/06/2020
7022398,"MUNICIPALITY OF PIKIT, NORTH COTABATO",PIKCOT-SUPP-002020-00133 (SUPPLY AND DELIVERY OF OFFICE EQUIPMENT ),Cotabato,PIKCOT-SUPP-002020-00133,Implementing Rules and Regulations,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Goods,Office Equipment,"81,140.00",15 Day/s,,Engr. Nashra Dalandangan Misquinan,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,08/06/2020 8:00 AM, SEE ATTACHED DOCUMENTS,,Engr. Nashra Dalandangan Misquinan,02/06/2020
7022396,METROPOLITAN CEBU WATER DISTRICT,"Procurement of Various Valves, Bushing, Air Brake Hose & Accessories",Cebu,27615-001,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Hardware and Construction Supplies,"568,150.00",0 Day/s,,Phyl Andre Cruz,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 10:00 AM," 27615-001	3-WAY SELECTOR VALVE  DOROT	10	PIECE	4,290.00	42,900.00
 27615-002	PILOT VALVE REPAIR KIT  DOROT	5	PIECE	38,280.00	191,400.00
 27615-003	COMPRESSION  FTTING  1/4"" X 3/8""  DOROT	100	PIECE	1,141.80	114,180.00
 27615-004	COMPRESSION  INSERT  1/4""  ",,Phyl Andre Cruz,02/06/2020
7022324,"MUNICIPALITY OF LIAN, BATANGAS","Bidding 10,2020",Batangas,"Bidding 10, 2020",Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"6,200,000.00",0 Day/s,,Christian Garganza Ortega,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,10/06/2020 1:00 AM," Republic of the Philippines
PROVINCE OF BATANGAS
Municipality of Lian
OFFICE OF BIDS AND AWARDS COMMITTEE
INVITATION TO BID
	The Municipal Government of Lian, Batangas through its Bids and Awards Committee (BAC) now calls for the submission of Letters of ",,Christian Garganza Ortega,02/06/2020
7022457,BUREAU OF JAIL MANAGEMENT AND PENOLOGY-CALABARZON,INVITATION TO BID FOR Drugs and Medicines for the Month of AUGUST 2020,Laguna,01-2020-05M,Implementing Rules and Regulations,Public Bidding,Goods,Drugs and Medicines,"6,900,000.00",7 Day/s,,MARJORIE SAMSON SAN JUAN,Active,Order,0,5,03/06/2020,03/06/2020 12:00 AM,29/06/2020 1:00 AM," 1.	The Bureau of Jail Management and Penology Regional Office CALABARZON (BJMPRO-CALABARZON) through the GAA2020   intends to apply the sum of Six  Million Nine Hundred Thousand Pesos (Php 6,900,000.00) being the Approved Budget for the Contract (ABC) to ",,MARJORIE SAMSON SAN JUAN,02/06/2020
7022455,DEPARTMENT OF EDUCATION - SCHOOLS DIVISION OF BACOOR CITY,RFQ supplies office,Cavite,06-02-2020,Implementing Rules and Regulations,Shopping,Goods,Office Supplies and Devices,"20,000.00",3 Day/s,,Michelle PONTILA CURATIVO,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 AM," bond papers, sign pen, stapler etc",,Michelle PONTILA CURATIVO,02/06/2020
7022453,"CITY  OF CADIZ, NEGROS OCCIDENTAL",Purchase of spareparts,,nego9,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Vehicle Parts and Accessories,"60,780.00",0 Day/s,,Reggie C Placido,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,09/06/2020 9:00 AM," Cadiz City
SF-GOOD-60
Standard Form Title: Request for Quotation
										_______________
									            
______________________
______________________
	Please quote your lowest price on the items listed below, subject to the General Conditions on ",,Reggie C Placido,02/06/2020
7022454,ENVIRONMENTAL MANAGEMENT BUREAU - DENR,ONE-TIME SERVER SECURITY SUITE WITH HOST INTRUSION PREVENTION (1) YEAR SUBSCRIPTION UNDER EMB-PPPDD-MIS RFQ NO. EMB-PPPDD-MIS.-SHOPPING-G-073 6-2-2020  PR NO.,Metro Manila,RFQ NO. EMB-PPPDD-MIS.-SHOPPING-G-073 6-2-2020,Implementing Rules and Regulations,Shopping,Goods,Information Technology,"988,000.00",15 Day/s,,Benhur V. Malana,Active,Order,0,5,03/06/2020,03/06/2020 12:00 AM,05/06/2020 2:00 PM," REQUEST FOR QUOTATION (RFQ)
ONE-TIME SERVER SECURITY SUITE WITH HOST INTRUSION PREVENTION (1) YEAR SUBSCRIPTION
UNDER EMB-PPPDD-MIS
RFQ NO. EMB-PPPDD-MIS.-SHOPPING-G-073 6-2-2020 
PR NO. 
1.	The Department of Environment and Natural Resources – Environmen",,Benhur V. Malana,02/06/2020
7022446,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT - REGION VIII,20-05-0725 - Procurement of consumables for UCT RPMO use.,Leyte,2020-0185,Implementing Rules and Regulations,Shopping,Goods,Office Equipment Supplies and Consumables,"129,298.00",30 Day/s,,CHARITY L HILARIA,Active,Order,0,6,03/06/2020,03/06/2020 12:00 AM,09/06/2020 9:00 AM," Sir/Madam:				
     Please quote your government price/s including delivery charges, VAT or other applicable taxes, and other incidental expenses for the item/s listed in Annex A.  Also, furnish us with descriptive brochures, catalogues, literatures and/o",,CHARITY L HILARIA,02/06/2020
7022444,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL-DOH R6,LABORATORY SUPPLIES AND REAGENTS (PR#20-03-70267),Negros Occidental,20-06-001,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Laboratory Supplies and Equipment,"595,300.00",10 Day/s,,APRIL JOY L. VILLA,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,08/06/2020 9:00 AM," Corazon Locsin Montelibano Memorial Regional Hospital, through its Bids and Awards Committee, intends to procure LABORATORY SUPPLIES AND REAGENTS (PR#20-03-70267), which will be undertaken in accordance with Section 53.9 of the Revised Implementing Rules ",,Kelly Sajo,02/06/2020
7022458,"CITY OF KABANKALAN, NEGROS OCCIDENTAL",Purchase of one (1) Drone for City Engineers Office use,Negros Occidental,BAC-2020-550,Implementing Rules and Regulations,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Goods,Security Surveillance and Detection Equipment,"180,000.00",0 Day/s,,Louie O Canlas,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,08/06/2020 5:00 PM, Order/Download and fill up attach Request for Quotation and submit to the BAC Office on/before closing date,,Louie O Canlas,02/06/2020
7022443,PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY,Supply and Delivery of Ten (10) pieces Sunlight Lux Color Ribbon,,120200102516,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Office Equipment Supplies and Consumables,"120,000.00",0 Day/s,,Rebecca Enierga Valenzuela,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:30 PM," June 2, 2020
REQUEST FOR QUOTATION
TO ALL INTERESTED SUPPLIERS:
The Philippine Institute of Volcanology and Seismology (PHIVOLCS) hereby invites legally capable suppliers to submit bids for a negotiated procurement for the PHIVOLCS’ requirement for “Suppl",,Katherine V Veracruz,02/06/2020
7022441,"BARANGAY TEJEROS, MAKATI CITY",OFFICE ENHANCEMENT PROJECT / CAPITAL OUTLAY,Metro Manila,TEJ-008,Others,Public Bidding,Goods,Packaging Supplies and Materials,"890,000.00",0 Day/s,,GREGORIO M ORDAS,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,17/06/2020 2:00 PM, OFFICE ENHANCEMENT PROJECT / CAPITAL OUTLAY,,GREGORIO M ORDAS,02/06/2020
7022445,"BARANGAY CENTRO 2,  SANCHEZ MIRA, CAGAYAN",PROCUREMENT OF OFFICE SUPPLIES,,RFQ 2020-001,Others,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Office Equipment Supplies and Consumables,"11,000.00",0 Day/s,,Andrew Lim Pagayatan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,11/06/2020 1:00 AM," 8 REAMS HARD COPY LONG
8 REAMS HARD COPY SHORT
8 REAMS HARD COPY A4
1 REAM FOLDER LONG
1 REAM FOLDER SHORT
2 SETS COMPUTER INK
2 BOXES PILOT BALLPEN
12 PCS CORRECTION TAPE
1 BOX PENTELPEN PILOT
1 PC FILE ORGANIZER",,Andrew Lim Pagayatan,02/06/2020
7022456,"BARANGAY INANDAWA, RAGAY, CAMARINES SUR",Construction of Barangay Road,Camarines Sur,005,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"218,000.00",7 Day/s,,Nenita  R.  Bondad,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,10/06/2020 7:00 AM," 465 bags cement, portland
5 kgs CW Nails, Assorted
17 pcs RSB 16mm0
3 pcs RSB 12mm
52 cu.m. Gravel
26 cu.m. sand
384 bdft Coco lumber",,Nenita  R.  Bondad,02/06/2020
7022438,NATIONAL POWER CORPORATION - SPUG LUZON,SUPPLY AND DELIVERY OF METER BILLING ENERGY-DIGITAL AND METER MULTIFUNCTION OF ORIENTAL MINDORO S/S AND 69KV T/L,Occidental Mindoro,S1-OMS20-021,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,General Merchandise,"888,000.00",90 Day/s,,Delfin Delinea,Active,Order,0,3,03/06/2020,03/06/2020 12:00 AM,09/06/2020 10:00 AM, PLEASE SEE ATTACHED TOR,,Delfin Delinea,02/06/2020
7022433,MUNICIPALITY OF BUUG - ZAMBOANGA SIBUGAY,Rehabilitation of Barangay Road (Purok 2 to  Purok 3),Zamboanga Sibugay,02-06-2020,Implementing Rules and Regulations,Public Bidding,Goods,Construction Projects,"349,413.36",15 Day/s,,COLEEN C LOMOLJO,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,22/06/2020 10:00 AM," Republic of the Philippines
PROVINCE OF ZAMBOANGA SIBUGAY
Municipality of Buug
BIDS AND AWARDS COMMITTEE
INVITATION TO BID, for the
 Rehabilitation of Barangay  Road 
ITB no. 02-06-2020
The local Government Unit of Buug, Zamboanga Sibugay intends to apply",,Dionesia B. Lagas,02/06/2020
7022465,"MUNICIPALITY OF DON CARLOS, BUKIDNON",Supply and Delivery of Various Construction Materials intended for Repair/Improvement of Classroom Building Kiara Elementary School,Bukidnon,06-55-2020,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Construction Materials and Supplies,"74,638.00",15 Day/s,,Josephine L Mananquil,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,11/06/2020 1:00 PM," Republic of the Philippines
          PROVINCE OF BUKIDNON
          Municipality of Don Carlos
BIDS AND AWARDS COMMITTEE
REQUEST FOR QUOATATION
									
							Date: 
							RFQ No.									Name of Project: Repair/improvement of classroom bldg. Kiara E/"," Deadline of submission is on or before June 11,2020 @ 1:00 pm",Josephine L Mananquil,02/06/2020
7022449,"MUNICIPALITY OF CAWAYAN, MASBATE",2nd Posting: Purchase of Assorted Materials used for Fish Coral Livelihood Projects,Masbate,2020083,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"970,000.00",0 Day/s,,Marito M Sinadjan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,10/06/2020 8:00 AM," Qty         unit           Description
40         rolls          PE Rope #18
400       rolls          PE Rope #10
200       rolls          Plastic Straw
40         pcs.          Mask & Snorkel
60         pcs.          Stainless Knife
400       pcs.       ",,Marito M Sinadjan,02/06/2020
7022490,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT - REGION VIII,20-05-0721 - Provision of vehicle rental services for Pick-up & Delivery of LBP Forms/ House-to-house validation of UCT Target Beneficiaries for enrollment.,Leyte,2020-0186,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Vehicles,"240,000.00",12 Day/s,,CHARITY L HILARIA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,09/06/2020 9:00 AM," Negotiated Procurement pursuant to Section 53.9 (Small Value Procurement) of the Revised Implementing Rules and Regulations (IRR) of Republic Act No. 9184 (RA 9184), which took effect on September 2, 2009.
Sir/Madam:				
     Please quote your government ",,CHARITY L HILARIA,02/06/2020
7022487,OCCUPATIONAL SAFETY AND HEALTH CENTER,Supply and Delivery of Computer Printer Ink,Metro Manila,oshc2020FAD_06,Implementing Rules and Regulations,Shopping,Goods,Information Technology Parts & Accessories & Perip,"92,500.00",7 Day/s,,Josephine C Tamayo,Active,Order,0,9,03/06/2020,03/06/2020 12:00 AM,05/06/2020 5:00 PM, Supply and Delivery of Computer Printer Ink,,Josephine C Tamayo,02/06/2020
7022434,"MUNICIPALITY OF ALANGALANG, LEYTE","FLOAT FOR ALANGALANG PEOPLE'S DAY JUNE 18, 2020",Leyte,20-06-296,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Construction Materials and Supplies,"107,000.00",3 Day/s,,LEILANI BACALE CASIMPAN,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 5:00 PM," TERMS AND CONDITIONS:						
1. All entries must be typewritten or legibly written. 					
2. Delivery period within _________3 days___________________ upon receipt of the approved  funded Purchase Order (P.O.).   				
3. Warranty shall be for a minimum of ", Please see attached file for quotation,LEILANI BACALE CASIMPAN,02/06/2020
7022486,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL-DOH R6,CSSD SUPPLY (PR#20-05-70496),Negros Occidental,20-06-003,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Medical Supplies and Laboratory Instrument,"320,000.00",10 Day/s,,APRIL JOY L. VILLA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 9:00 AM," Corazon Locsin Montelibano Memorial Regional Hospital, through its Bids and Awards Committee, intends to procure CSSD SUPPLY (PR#20-05-70496), which will be undertaken in accordance with Section 53.9 of the Revised Implementing Rules and Regulations of Re",,Kelly Sajo,02/06/2020
7022485,"BARANGAY ISABANG, LUCENA CITY","Concreting of Road, Purok Ilang-ilang/ Hermana Fausta",Quezon,2020 - 080,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"300,000.00",28 Day/s,,armeilto s. robles,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,10/06/2020 2:00 PM," Concreting of Road, Purok Ilang-ilang/ Hermana Fausta of
Barangay Isabang, Lucena City",,armeilto s. robles,02/06/2020
