Reference Number,Procuring Entity,Title,Area of Delivery,Solicitation Number,Trade Agreement,Procurement Mode,Classification,Category,Approved Budget for the Contract,Contract Duration,Client Agency,Contact Person,Status,Associated Components,Bid Supplements,Document Request List,Date Published,Last Updated / Time,Closing Date / Time,Description,Other Information,Created by,Date Created
7019674,SUGAR REGULATORY ADMINISTRATION - VISAYAS,"Various Laboratory Supplies (Brix Hydrometer, etc.)",Negros Occidental,SRAVIS 20-06-271,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Laboratory Supplies and Equipment,"111,900.00",30 Day/s,,Maria Lucia Sanchez,Active,Order,0,10,02/06/2020,02/06/2020 12:00 AM,16/06/2020 5:00 PM," Purchase request submitted by Janet Dilag 
1	
3	
piece
	
Brix Hydrometer, Spindle
•	1 piece – ranges 30-40o C, calibrated in 
0.1o Brix
•	2 pieces - ranges 40-50o C, calibrated in 
0.1o Brix
2	
2	
piece	
Burette, 10mL, glass with Teflon stopcock gradation",,Maria Lucia Sanchez,01/06/2020
7019361,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - BUTUAN CITY DEO,"RFQ - Assorted Spare Parts use for Dumptruck Maintenance with Plate No. SJE-814, SEM-962 of Lower Agusan Development Project (LADP) Located at Motorpool Compound, Doongan Road Butuan City",Agusan Del Norte,RFQ - PR No. 2020-03-0083 dated 03-25-20,Implementing Rules and Regulations,Shopping,Goods,Vehicle Repair and Maintenance,"205,860.00",30 Day/s,,ERVIN PAGE SALANG,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 2:00 PM," Republic of the Philippines					
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS					
BUTUAN CITY DISTRICT ENGINEERING OFFICE					
REGIONAL OFFICE XIII					
Butuan City, Agusan del Norte					
  Tel. Nos. 342-5331  Fax No. 225-2022					
Name of Procuring Entity: D",,ERVIN PAGE SALANG,01/06/2020
7019669,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - TACLOBAN CITY SDEO,"Repair and Maintenance of Road Safety Facilities along Apitong-Paterno Rd (S00017LT) K0908+(-550)-K0908+000 & K0908+200-K0909+100, Burgos St (S00031LT) Chainage 598-Chainage 845, Caibaan Rd (S00018LT",,20IM0028,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"2,858,000.00",37 Day/s,,Lourdes Pretencio Peñaflor,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,22/06/2020 8:00 AM," INVITATION TO BID
June 02, 2020
The DPWH Tacloban City District Engineering Office, New Bus Terminal, Brgy. Abucay, Tacloban City, through its Bids and Awards Committee (BAC), invites contractors to submit bids for the following Contract:
I.    Contract I",,Lourdes Pretencio Peñaflor,01/06/2020
7019673,"BARANGAY BASIAD, STA. ELENA, CAMARINES  NORTE",CONSTRUCTION OF MULTI-PURPOSE SOLAR DRIER,Camarines Norte,ITB - 0034,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"74,355.00",0 Day/s,,Rebecca Marcilla Agbay,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 2:00 PM," Deliveries of Supplies and Materials for the Construction of Multi-Purpose Solar Drier at Brgy. Basiad , Sta. Elena, Camarines Norte.",,Rebecca Marcilla Agbay,01/06/2020
7019670,"BARANGAY BIANGAN, MAKILALA, COTABATO","COMPLETION OF STEEL GATE FOR MULTI-PURPOSE BUILDING, BARANGAY BIANGAN, MAKILALA, COTABATO",Cotabato,2020-004,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"100,000.00",30 Day/s,,Reynaldo dela Cruz Monreal,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,16/06/2020 9:00 AM," INVITATION TO BID FOR 									
									
COMPLETION OF STEEL GATE FOR MULTI-PURPOSE BUILDING, BARANGAY BIANGAN, MAKILALA, COTABATO									
									
									
1. 	The Barangay Biangan, Makilala, Cotabato through the Barangay Fund intends to apply the su",,Reynaldo dela Cruz Monreal,01/06/2020
7019663,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - COMPOSTELA VALLEY ,20LA0272 71X-Special Maintenance of Reflective Thermoplastic Stripping Materials (Solid Form) along Daang Maharlika Road,Compostela Valley,20LA0272,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"2,499,964.66",46 Day/s,,Lucena Macalindong Garma,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,22/06/2020 11:30 AM, Edge Lines Markings; Center Lines Markings; Sub-Center Lines Markings, BIDDERS MUST DOWNLOAD THE ATTACHED DOCUMENTS IN THE ASSOCIATED COMPONENT SECTION,Lucena Macalindong Garma,01/06/2020
7019662,BUREAU OF THE TREASURY,PURCHASE OF WATER HEATER,Metro Manila,2020-05-0148 FMD,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Hardware and Construction Supplies,"180,000.00",0 Day/s,,Mr. Clarence Bolante Bunan,Active,Order,0,5,02/06/2020,02/06/2020 12:00 AM,05/06/2020 1:00 AM," 18 sets WATER HEATER
Specifications:
Max outlet water temperature: 55 degree Celsius
Water connection size: 1/2 inch
Minimum flow rate: 1.2L/minute
Minimum pressure: 0.03 mpa (4.4 psi)
Maximum pressure: 0.3 mpa (43.5 psi)
Control type: Knob controlled
Bui",,Mr. Clarence Bolante Bunan,01/06/2020
7019340,PROVINCE OF SIQUIJOR,Supply and Delivery of Portable Anthropometric Measuring Device for Height and Length (Height Board),Siquijor,382-C-05-2020 (IPHO),Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Medical Supplies and Laboratory Instrument,"126,000.00",0 Day/s,,Celeste Ann Laure Capilla,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,08/06/2020 1:30 PM," Republic of the Philippines					
PROVINCE OF SIQUIJOR					
BIDS & AWARDS COMMITTEE					
Capitol Building, Siquijor, Siquijor					
					
Business Name:_____________________________				AD. No.: 382-C-05-2020	
Address:___________________________________				D",,Celeste Ann Laure Capilla,01/06/2020
7019658,"CITY  OF CADIZ, NEGROS OCCIDENTAL",Supply and delivery of Tire,,nego1,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Vehicle Parts and Accessories,"71,100.00",0 Day/s,,Reggie C Placido,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,09/06/2020 9:00 AM," Cadiz City
SF-GOOD-60
Standard Form Title: Request for Quotation
										_______________
									            
______________________
______________________
	Please quote your lowest price on the items listed below, subject to the General Conditions on ",,Reggie C Placido,01/06/2020
7019657,BARANGAY CATO  - TUAO CAGAYAN,request for quotation of appliances,Cagayan,001,Implementing Rules and Regulations,Shopping,Goods,Appliances,"8,000.00",7 Day/s,,Elbert O. Baligod,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,03/06/2020 9:00 AM, purchased and delivery of electric fan,,Elbert O. Baligod,01/06/2020
7019655,"CITY  OF LA CARLOTA, NEGROS OCCIDENTAL",Tire & Elctrical Supplies,Negros Occidental,2020-0124,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Electrical Supplies,"88,800.00",0 Day/s,,Joseph Villanueva Emboltorio,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 10:00 AM," City Government of La Carlota								         
Standard Form Number: SF-GOOD-59
Revised on: May 24, 2004
Standard Form Title: REQUEST FOR QUOTATION
												Date: ______________
												Quotation No.________
Company Name
Address
	Please quote your ",,Joseph Villanueva Emboltorio,01/06/2020
7019678,"MUNICIPALITY OF CALAUAG, QUEZON","Supply and Delivery of Office Supplies for Different Offices of LGU Calauag, Quezon for the year 2020",Quezon,013-06-2020,Implementing Rules and Regulations,Public Bidding,Goods,Office Supplies and Devices,"1,856,581.50",0 Day/s,,Maricel Balmes Recio,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,22/06/2020 1:00 AM, see attached ITB,,Maricel Balmes Recio,01/06/2020
7019665,PROVINCE OF SOUTHERN LEYTE,Procurement of Catering Services,Southern Leyte,2020-06-05-044NP,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Catering Services,"101,600.00",20 Day/s,,Jesse R. Quilantang,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 10:00 AM," Republic of the Philippines					
PROVINCE OF SOUTHERN LEYTE					
Maasin City					
	Standard Form No.: SF-GOOD-60			 Project Reference No. 044	
	Revised on:  May 24, 2004			 Name of the Project:  _______	
	Standard Form Title:                              ",,Jesse R. Quilantang,01/06/2020
7019697,"BUREAU OF ANIMAL INDUSTRY, DA",Vehicle Repair and Maintenance,Bukidnon,FOG NBCRDC III 2020-05-019,Implementing Rules and Regulations,Shopping,Goods,Vehicle Repair and Maintenance,"66,361.20",0 Day/s,,Lolita M. Jumalon,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 4:00 PM," JOB ORDER				
For the supply of technical labor and materials in religning of clutch, repair of front drive assembly and replacement of king pin oil  seals of Kubota Tractor M8030DT SN 70496 at NBCRDC Bukidnon				
		Scope of work:				
lot	1	1. Pull out cl", Other Information,Lolita M. Jumalon,01/06/2020
7019656,"BARANGAY U.P. CAMPUS, QUEZON CITY",Purchase and Installation of Public Address System,Metro Manila,GEPS2020-006,Implementing Rules and Regulations,Public Bidding,Goods,Communication Equipment & Parts and Accessories,"377,363.97",30 Day/s,,Mryna Lumbreras,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,16/06/2020 10:00 AM," The Sangguniang Barangay appropriated budget for the Purchase and Installation of Public Address System for Pooks Village- A & B for the improvement of barangay services.  A Public Bidding will be held on June 16, 2020, 10:00 am and a Pre-Bid Conference w",,Mryna Lumbreras,01/06/2020
7019695,PROVINCE OF SOUTHERN LEYTE,Supply & Delivery of Firewood,Southern Leyte,2020-06-05-046NP,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,General Merchandise,"126,000.00",20 Day/s,,Jesse R. Quilantang,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 10:00 AM," Republic of the Philippines					
PROVINCE OF SOUTHERN LEYTE					
Maasin City					
	Standard Form No.: SF-GOOD-60			 Project Reference No. 046	
	Revised on:  May 24, 2004			 Name of the Project:  _______	
	Standard Form Title:                              ",,Jesse R. Quilantang,01/06/2020
7019667,DEPARTMENT OF AGRICULTURE - REGION IV-B (MIMAROPA),SUPPLY AND DELIVERY OF LOT 2: VARIOUS FERTILIZERS IN SUPPORT TO FOOD SECURITY PROGRAM AMID COVID 19,Occidental Mindoro,SVP 20-1000-2,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Fertilizers,"601,000.00",30 Day/s,,Divina Gracia Binuya,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,09/06/2020 10:00 AM," LOT 2:
100 BAGS - UREA (50KG/BAG)
100 BAGS - COMPLETE (50KG/BAG)
100 BAGS - MOP 0-0-60 (50KG/BAG)
1,000 BAGS - ORGANIC FERTILIZER (20KG/BAG)
Please see attached RFQ # 20-1000-2
Submit your Sign and Sealed Quotation together with your UPDATED ELIGIBILITY R",,Divina Gracia Binuya,01/06/2020
7019694,BARANGAY CATO  - TUAO CAGAYAN,request for quotation of furniture,Cagayan,002,Implementing Rules and Regulations,Shopping,Goods,Furniture,"49,500.00",7 Day/s,,Elbert O. Baligod,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,03/06/2020 9:00 AM, purchased and delivery of furnitures,,Elbert O. Baligod,01/06/2020
7019690,PROVINCIAL GOVERNMENT OF CAMARINES SUR,Purchase of Office Equipment and Supply,Camarines Sur,S-244-2020,Implementing Rules and Regulations,Shopping,Goods,Office Equipment Supplies and Consumables,"92,100.00",0 Day/s,,Bernadette Llacer Belleza,Active,Order,0,2,02/06/2020,02/06/2020 12:00 AM,05/06/2020 5:00 PM," 1      unit   Digital Photocopier
                Specification:
               40ppm A4/Legal Digital Copier/ Network Printer/ Network Scanner/Network Fax with Built-in Document 
               Processor and Duplex unit for Back to Back Copying, Printing",,Bernadette Llacer Belleza,01/06/2020
7019688,"MUNICIPALITY OF STA. ANA, PAMPANGA",CONSTRUCTION/UPGRADING/CONCRETING OF STA. LUCIA ROAD,Pampanga,SA-INF-2020-05-0003,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,000,000.00",30 Day/s,,"HILARIO, JR. NAGUIT MALIWAT",Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,19/06/2020 10:00 AM, CONCRETING OF BARANGAY ROAD,,"HILARIO, JR. NAGUIT MALIWAT",01/06/2020
7019687,"BARANGAY OSMENA, CATAINGAN, MASBATE",REHAB./IMPROVEMENT OF BASKETBALL COURT (S.K FUND),Masbate,Infra-02,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"70,122.00",0 Day/s,,Roda Tunacao Casinillo,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
Province of Masbate
MUNICIPALITY OF CATAINGAN
BARANGAY OSMENA
 
			                                                                                                 JUNE 2, 2020
INVITATION TO APPLY FOR ELIGIBILITY AND TO BID
The",,Roda Tunacao Casinillo,01/06/2020
7019362,SUGAR REGULATORY ADMINISTRATION - VISAYAS,"Various Laboratory Chemicals (Aluminum Sulfate, etc.)",Negros Occidental,SRAVIS 20-06-269,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Chemicals and Chemical Products,"65,222.00",30 Day/s,,Maria Lucia Sanchez,Active,Order,0,4,02/06/2020,02/06/2020 12:00 AM,15/06/2020 5:00 PM," Purchase request submitted by Nelsie Grace Gela
1	
3	
bottle	
Aluminum Sulfate, 500 grams/bottle
2	
2	
bottle	
Aluminum Hydroxide, 500 grams/bottle
3	
7	
bottle	
Ammonium Acetate, 500 grams/bottle
4	
2	
bottle	
Ammonium Carbonate, 500 grams/bottle
5	
4	
b",,Maria Lucia Sanchez,01/06/2020
7019693,ENVIRONMENTAL MANAGEMENT BUREAU - DENR,SUPPLY AND DELIVERY OF ELECTRICAL CONDUCTIVITY AND PH (MICRO-SENSOR) UNIT,Metro Manila,RFQ NO. EMB-ERLSD-ERS-SHOPPING-0018-3-3-2020(5th),Implementing Rules and Regulations,Shopping,Goods,Laboratory Supplies and Equipment,"40,000.00",15 Day/s,,Benhur V. Malana,Active,Order,0,4,02/06/2020,02/06/2020 12:00 AM,04/06/2020 2:00 PM," REQUEST FOR QUOTATION (RFQ) 
SUPPLY AND DELIVERY OF ELECTRICAL CONDUCTIVITY AND PH (MICRO-SENSOR) UNIT RFQ NO. EMB-ERLSD-ERS-SHOPPING-0018-3-3-2020(5th)
 
1.	The Department of Environment and Natural Resources – Environmental Management Bureau (DENR-EMB) ", BIDDERS MUST DOWNLOAD THE ATTACHED DOCUMENT IN THE ASSOCIATED COMPONENT SECTION.,Arniel A. Abellonar,01/06/2020
7019686,PROVINCE OF SOUTHERN LEYTE,Supply & Delivery of Hardware & Construction Supplies,Southern Leyte,2020-06-05-045NP,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Hardware and Construction Supplies,"446,810.00",20 Day/s,,Jesse R. Quilantang,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 1:00 AM," Republic of the Philippines					
PROVINCE OF SOUTHERN LEYTE					
Maasin City					
	Standard Form No.: SF-GOOD-60			 Project Reference No. 045	
	Revised on:  May 24, 2004			 Name of the Project:  _______	
	Standard Form Title:                              ",,Jesse R. Quilantang,01/06/2020
7019696,"MUNICIPALITY OF SAN ESTEBAN, ILOCOS SUR",IMPROVEMENT/REHABILITATION/DREDGING OF ANSAD NATURAL WATERWAYS,Ilocos Sur,2020-06-33,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"4,386,857.60",100 Day/s,,Julius Ubando Abesamis,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 1:00 AM," 623.00 SQ.M. CLEARING WITH STRIPPING & DISPOSAL
505.00 CU.M. EXCAVATION/DREDGING WITH DISPOSAL
877.00 CU.M. STONE MASONRY
1.00 L.S. PROJECT BILLBOARD
1.00 L.S. CONSTRUCTION SAFETY & HEALTH",,Julius Ubando Abesamis,01/06/2020
7019685,"BARANGAY UNION, BONTOC SOUTHERN LEYTE",Tanod Paraphernalia,Southern Leyte,2020-01,Implementing Rules and Regulations,Shopping,Goods,Office Equipment Supplies and Consumables,"10,000.00",5 Day/s,,Cherilyn Tambis Espina,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,08/06/2020 9:00 AM," 11	pcs	sweet shirts w/ print
10	pcs	flashlights",,Cherilyn Tambis Espina,01/06/2020
7019683,"BARANGAY U.P. CAMPUS, QUEZON CITY",Purchase and Installation of Public Address System,Metro Manila,GEPS2020-007,Implementing Rules and Regulations,Public Bidding,Goods,Communication Equipment & Parts and Accessories,"377,363.97",30 Day/s,,Mryna Lumbreras,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,16/06/2020 10:00 AM," The Sangguniang Barangay appropriated budget for the Purchase and Installation of Public Address System for Pooks Libis and Malinis for the improvement of barangay services.  A Public Bidding will be held on June 16, 2020, 10:00 am and a Pre-Bid Conferenc",,Mryna Lumbreras,01/06/2020
7019682,DOMINGO LACSON NATIONAL HIGH SCHOOL,Procurement of SEMI -EXPENDABLE ICT for the use of BAC Committee  for their meeting.,Negros Occidental,06012020,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods - General Support Services,Information Technology,"20,030.00",7 Day/s,,Precila Gutierrez,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 10:00 AM," Note: 
1. ALL ITEMS SHOULD BE IN ONE PACKAGE.
2. ALL BIDDERS MUST BE WITHIN BACOLOD CITY.
3. WARRANTY SHALL BE FOR A PERIOD OF SIX (6) MONTHS FOR SUPPLIES & MATERIALS, ONE (1) YEAR 
FOR EQUIPMENT, FROM THE DATE OF ACCEPTANCE BY THE PROCURING ENTITY.
4. PR",,Precila Gutierrez,01/06/2020
7019680,FOOD AND DRUG ADMINISTRATION,NP-SVP(A)-2020-002-CSL-REPOSTED - Third Party Laboratory Testing,Metro Manila,NP-SVP(A)-2020-002-CSL-REPOSTED,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Laboratory Supplies and Equipment,"181,500.00",0 Day/s,,Marilyn Cruz Santella,Active,Order,0,3,02/06/2020,02/06/2020 12:00 AM,05/06/2020 11:00 AM," Third Party Laboratory Testing
Approved Budget for the Contract = PHp181,500.00
Third Party Laboratory Testing of Household / Urban Pesticide (i.e Mosquito coils, Mosquito Repellent, Rodenticide) for their Active Ingredient may include, but not limited to",,Marilyn Cruz Santella,01/06/2020
7019677,DR. PAULINO J. GARCIA MEMORIAL RESEARCH AND MEDICAL CENTER,"RFQ No.: 2020 – 088 - Steel Filing Cabinet, 4 Drawers",Nueva Ecija,RFQ 2020-088,Implementing Rules and Regulations,Shopping,Goods,Office Equipment Supplies and Consumables,"74,750.00",10 Day/s,,Gil C. Suratos,Active,Order,0,3,02/06/2020,02/06/2020 12:00 AM,04/06/2020 5:00 PM," REQUEST FOR QUOTATION
Date: June 1, 2020
RFQ No.: 2020 – 088 - Steel Filing Cabinet, 4 Drawers
Name of Company:	________________________________________________________
Office Address:	________________________________________________________			___________",,Pinky Miriam D Canlas,01/06/2020
7019698,COMMISSION ON HIGHER EDUCATION - NCR,Provision of Rental/Lease Contract of fifteen (15) laptop units,Metro Manila,CHED-NCR RFQ2020-05-005,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Information Technology,"315,000.00",7 Day/s,,Regina Butac Fortes,Active,Order,0,3,02/06/2020,02/06/2020 12:00 AM,05/06/2020 9:00 AM," REQUEST FOR QUOTATION
Date: 	May 29, 2020			
P.R. No. : 	PR-2020-05-0001			
Quotation No:CHED-NCR RFQ2020-05-005			
REQUISITIONING OFFICE/END USER: CHEDNCR/ADMINISTRATIVE DIVISION					
APPROVED BUDGET FOR THE CONTRACT (ABC): Three Hundred Fifteen Thousand", Interested bidder must download the main document attached in the associated components,Regina Butac Fortes,01/06/2020
7019715,"MUNICIPALITY OF NAGTIPUNAN, QUIRINO",Event Styling (Municipal Gymnasium),Quirino,CG-1-103-2020,Implementing Rules and Regulations,Public Bidding,Goods,Services,"220,000.00",3 Day/s,,Edralin B. Baingan,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,19/06/2020 10:00 AM, Please see attached PR for Description, Please DOWNLOAD attached file/s for Specifications.,Edralin B. Baingan,01/06/2020
7019713,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - COMPOSTELA VALLEY ,"20LA0274 Construction of Multi-Purpose Building Mechanized Infantry 10th Division Tuburan, Mawab, Compostela Valley",Compostela Valley,20LA0274,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"4,409,913.41",90 Day/s,,Lucena Macalindong Garma,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,22/06/2020 11:30 AM," Construction of Mechanized Building (6.0m x 17.0m) with Embankment, Site Development, Painting, Railings, Finishing and Electrical Works", BIDDERS MUST DOWNLOAD THE ATTACHED DOCUMENTS IN THE ASSOCIATED COMPONENT SECTION,Lucena Macalindong Garma,01/06/2020
7019722,"MUNICIPALITY OF CAMALIG, ALBAY",Procurement of office supplies for use at MPDO and other purposes,Albay,LGU-Camalig-Goods-11,Implementing Rules and Regulations,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Goods,Office Supplies and Devices,"75,940.00",7 Day/s,,Jubet N. Gnilo,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 1:00 AM," Procurement of office supplies for use at MPDO and other purposes
 - see canvass for details",,Jubet N. Gnilo,01/06/2020
7019344,"MUNICIPALITY OF ALFONSO LISTA, IFUGAO",Procurement of construction materials for Concreting of Road at Cabaranggao Portion Laya,Ifugao,165,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"415,720.40",15 Day/s,,Janet A. Pumalo,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 5:00 PM," Bid documents will be available at the Office of the BAC Secretariat, only to prospective bidders upon payment of non-refundable amount to P500.00 base on the standard rates prescribed in GPPB RESOLUTION NO. 04-2012 to the Municipality of Alfonso Lista.
O",,Janet A. Pumalo,01/06/2020
7019718,"BARANGAY DARAMUANGAN, NAGUILIAN, LA UNION",IMPROVEMENT OF DAYCARE CENTER,La Union,2020,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Civil Works,General Contractor,"30,000.00",9 Day/s,,RAMIL D. ABUN,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 12:00 AM," I. DEMOLITION OF EXISTING STRUCTURE
II. CARPENTRY WORKS",,RAMIL D. ABUN,01/06/2020
7019684,PHILIPPINE HEALTH INSURANCE CORPORATION - CARAGA,"Procurement of Services for Carpentry / Aluminum & Glass Works, Hauling and Transfer of Office Fixtures, Furnitures and Supplies",Agusan Del Norte,20-04-040,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods - General Support Services,Transportation and Communications Services,"218,342.50",10 Day/s,,Teresita Maquiling De Veyra,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 3:00 PM," ITEM	Unit	Item Description		Qty 	Estimated	Estimated
NO.					Unit Cost	Total Cost
	LOT	Procurement of Services for Carpentry / Aluminum & Glass Works, Hauling and Transfer of Office Fixtures, Furnitures and Supplies		3		
		Mode of Procurement: Negotiated ",,Amadel A Gonzales,01/06/2020
7019717,DEPARTMENT OF ENVIRONMENT AND NATURAL RES. - PENRO E. SAMAR,REPAIR OF FLOOR TILES (3rd Floor of the PENR Office Building),Eastern Samar,P.R. No. 2020-06-116,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Civil Works,Construction Projects,"274,655.43",30 Day/s,,Myron O. Garcia,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 12:00 PM," Invitation to Bid for the
REPAIR OF FLOOR TILES (3rd Floor of PENR Office Building)
Brgy. Alang-alang, Borongan City, E. Samar
P.R. No. 2020-06-116
1.	The Department of Environment and Natural Resources – Provincial Environment and Natural Resources Offic",,Myron O. Garcia,01/06/2020
7019720,PROVINCE OF SOUTHERN LEYTE,Supply & Delivery of Southern Leyte Flags,Southern Leyte,2020-06-05-048NP,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Flags,"149,000.00",20 Day/s,,Jesse R. Quilantang,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 10:00 AM," Republic of the Philippines					
PROVINCE OF SOUTHERN LEYTE					
Maasin City					
	Standard Form No.: SF-GOOD-60			 Project Reference No. 048	
	Revised on:  May 24, 2004			 Name of the Project:  _______	
	Standard Form Title:                              ",,Jesse R. Quilantang,01/06/2020
7019716,DEPARTMENT OF AGRICULTURE - REGION I,Provision of Meals and Snacks for the conduct of Assessment and Consultation Workshop to LGU Implementers in the implementation of CY 2020 Livestock Program,,2020-PR20-629-153,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Catering Services,"144,000.00",0 Day/s,,ERLINDA F. MANIPON,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 9:00 AM," Provision of Meals and Snacks for the conduct of Assessment and Consultation Workshop to LGU Implementers in the implementation of CY 2020 Livestock Program
 		Lot 1: Pangasinan; Php49,500.00	
				
 	 	1st Semeter		
55	pax	AM Snacks - pancit palabok with ", INSTRUCTIONS/TERMS AND CONDITIONS:								,ERLINDA F. MANIPON,01/06/2020
7019679,"MUNICIPALITY OF CAIBIRAN, BILIRAN","Acquisition of Medical Equipment, RHU",Biliran,2020 Caib 082,Implementing Rules and Regulations,Public Bidding,Goods,Medical Supplies and Laboratory Instrument,"414,960.00",20 Day/s,,"Teofilo, Jr. Rostata Gervacio",Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,10/06/2020 8:00 AM," INVITATION TO APPLY FOR ELIGIBILITY AND TO BID
THE MUNICIPALITY OF CAIBIRAN, BILIRAN IS INVITING ALL INTERESTED BIDDERS ON ITS FORTHCOMING PUBLIC BIDDING FOR:
Project Title 	: Acquisition of Medical Equipment
Location	: RHU, LGU - Caibiran, Biliran 
Deliv"," You may see the Municipal Health Officer, RHU, Municipality of Caibiran","Teofilo, Jr. Rostata Gervacio",01/06/2020
7019711,PROVINCE OF SOUTHERN LEYTE,Supply & Delivery of Grass Cutter,Southern Leyte,2020-06-05-047NP,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Industrial Machinery and Equipment,"220,000.00",20 Day/s,,Jesse R. Quilantang,Active,Order,0,3,02/06/2020,02/06/2020 12:00 AM,05/06/2020 10:00 AM," Republic of the Philippines					
PROVINCE OF SOUTHERN LEYTE					
Maasin City					
	Standard Form No.: SF-GOOD-60			 Project Reference No. 047	
	Revised on:  May 24, 2004			 Name of the Project:  _______	
	Standard Form Title:                              ",,Jesse R. Quilantang,01/06/2020
